YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2022-12,WEEKDAY,8,TRAIN,TE16,3412,5155
2022-12,WEEKDAY,6,TRAIN,CC16,3326,2131
2022-12,WEEKENDS/HOLIDAY,6,TRAIN,CC16,838,503
2022-12,WEEKENDS/HOLIDAY,13,TRAIN,TE4,1537,1115
2022-12,WEEKDAY,13,TRAIN,TE4,2550,1747
2022-12,WEEKENDS/HOLIDAY,11,TRAIN,BP12,1136,532
2022-12,WEEKDAY,11,TRAIN,BP12,2360,1099
2022-12,WEEKDAY,13,TRAIN,PTC,32188,29156
2022-12,WEEKDAY,13,TRAIN,NE17/PTC,32188,29156
2022-12,WEEKENDS/HOLIDAY,13,TRAIN,PTC,17515,15289
2022-12,WEEKENDS/HOLIDAY,13,TRAIN,NE17,17515,15289
2022-12,WEEKENDS/HOLIDAY,13,TRAIN,NE17/PTC,17515,15289
2022-12,WEEKDAY,13,TRAIN,NE17,32188,29156
2022-12,WEEKDAY,7,TRAIN,BP5,2908,1427
2022-12,WEEKENDS/HOLIDAY,7,TRAIN,BP5,484,387
2022-12,WEEKDAY,8,TRAIN,SW6,5549,1423
2022-12,WEEKENDS/HOLIDAY,8,TRAIN,SW6,1228,343
2022-12,WEEKENDS/HOLIDAY,16,TRAIN,EW4,5153,4600
2022-12,WEEKDAY,16,TRAIN,EW4,9272,8964
2022-12,WEEKENDS/HOLIDAY,14,TRAIN,CC2,1013,1273
2022-12,WEEKDAY,14,TRAIN,CC2,2482,2645
2022-12,WEEKENDS/HOLIDAY,12,TRAIN,NE14,12191,7486
2022-12,WEEKDAY,12,TRAIN,NE14,22907,14887
2022-12,WEEKDAY,20,TRAIN,NE4/DT19,42202,17257
2022-12,WEEKENDS/HOLIDAY,20,TRAIN,NE4,23252,10170
2022-12,WEEKENDS/HOLIDAY,20,TRAIN,DT19,3438,1966
2022-12,WEEKDAY,20,TRAIN,NE4,42202,17257
2022-12,WEEKDAY,20,TRAIN,DT19,8218,3641
2022-12,WEEKENDS/HOLIDAY,20,TRAIN,NE4/DT19,23252,10170
2022-12,WEEKDAY,0,TRAIN,SE5,41,208
2022-12,WEEKENDS/HOLIDAY,0,TRAIN,SE5,23,130
2022-12,WEEKDAY,23,TRAIN,EW6,1032,4540
2022-12,WEEKENDS/HOLIDAY,23,TRAIN,EW6,515,2236
2022-12,WEEKDAY,12,TRAIN,CC4,7737,16523
